,Unnamed: 0,CCV,bloque,OrdenPres,sujnum,TipoNumCCV,FFD,FPRT,TFT,transicion,dur_totCCV,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_r,OrdenDeCCV,repeticion_ccv,Frecuencia,SegConsVoceada,RPD,RBRC,RBRT,SFD,RRT,NormTransition,TotalRepetition
3621,3621,GPA,2,3,13,5,277,277,277,,,,,,3,2,7.98,0,277,0,277,277,0,,5
3626,3626,BDA,2,3,13,5,436,436,436,,,,,,2,2,23.66,1,436,0,436,436,0,,5
3637,3637,DCA,2,3,13,5,288,288,288,,,,,,2,3,0.19,0,288,0,288,288,0,,6
3647,3647,BCA,2,3,13,5,264,264,264,,,,,,2,1,12.49,0,264,0,264,264,0,,4
3652,3652,BGA,2,3,13,5,373,373,373,,,,,,3,1,1.11,1,373,0,373,373,0,,4
3656,3656,DGA,2,3,13,5,238,238,238,,,,,,3,3,0.0,1,238,0,238,238,0,,6
3657,3657,DTA,2,3,13,5,261,261,261,,,,,,4,3,1.44,0,261,0,261,261,0,,6
3662,3662,GTA,2,3,13,5,347,347,347,,,,,,3,1,47.64,0,347,0,347,347,0,,4
3664,3664,GCA,2,3,13,5,106,271,271,,,,,,5,2,0.0,0,271,0,271,0,0,,5
3670,3670,GTA,2,3,13,5,191,421,421,,,,,,5,2,47.64,0,421,0,421,0,0,,5
3679,3679,BPA,2,3,13,5,340,340,340,,,,,,2,1,0.39,0,340,0,340,340,0,,4
3682,3682,BTA,2,3,13,5,335,335,335,,,,,,5,1,10150.0,0,335,0,335,335,0,,4
3687,3687,BPA,2,3,13,5,269,269,269,,,,,,4,2,0.39,0,269,0,269,269,0,,5
3691,3691,DPA,2,3,13,5,427,427,427,,,,,,2,2,3.51,0,427,0,427,427,0,,5
3693,3693,GBA,2,3,13,5,239,377,377,,,,,,4,1,7.04,1,377,0,377,0,0,,4
3697,3697,BCA,2,3,13,5,392,392,392,,,,,,2,2,12.49,0,392,0,392,392,0,,5
3698,3698,GBA,2,3,13,5,424,527,527,,,,,,3,2,7.04,1,527,0,527,0,0,,5
3703,3703,BTA,2,3,13,5,251,251,251,,,,,,2,2,10150.0,0,251,0,251,251,0,,5
3705,3705,BGA,2,3,13,5,378,378,378,,,,,,4,3,1.11,1,378,0,378,378,0,,6
3708,3708,BCA,2,3,13,5,368,368,368,,,,,,2,3,12.49,0,368,0,368,368,0,,6
3709,3709,GTA,2,3,13,5,242,242,242,,,,,,3,3,47.64,0,242,0,242,242,0,,6
3716,3716,DBA,2,3,13,5,289,289,289,,,,,,5,3,0.05,1,289,0,289,289,0,,6
3722,3722,GDA,2,3,13,5,205,339,339,,,,,,5,3,8.06,1,339,0,339,0,0,,6
3730,3730,BPA,2,3,13,5,157,157,157,,,,,,2,3,0.39,0,157,0,157,157,0,,6
3731,3731,GPA,2,3,13,5,185,447,447,,,,,,3,3,7.98,0,447,0,447,0,0,,6
3737,3737,GCA,2,3,13,5,175,175,175,,,,,,4,3,0.0,0,175,0,175,175,0,,6
3742,3742,DPA,2,3,13,5,206,206,206,,,,,,4,3,3.51,0,206,0,206,206,0,,6
3746,3746,GBA,2,3,13,5,240,515,515,,,,,,3,3,7.04,1,515,0,515,0,0,,6
3747,3747,BTA,2,3,13,5,156,156,156,,,,,,4,3,10150.0,0,156,0,156,156,0,,6
3752,3752,BTA,1,1,14,5,187,624,624,0.114393177451511,0.38786436729653095,0.257384649265901,0.7378327248931071,0.7338327248932021,3,1,10150.0,0,624,0,624,0,0,0.29493087557603576,1
3758,3758,GDA,1,1,14,5,114,732,732,0.122555291931322,0.40296179987018493,0.27746518093251193,0.7794806923047879,0.774480692304679,3,1,8.06,1,732,0,732,0,0,0.30413625304136377,1
3760,3760,GBA,1,1,14,5,540,897,897,0.111770426241366,0.32648729770504,0.260797661229852,0.850543612491492,0.8535436124911941,5,1,7.04,1,897,0,897,0,0,0.3423423423423453,1
3775,3775,BCA,1,1,14,5,202,791,791,0.115090029055766,0.316820866501828,0.29807024379049496,0.889595094442964,0.887595094443466,2,1,12.49,0,791,0,791,0,0,0.3632653061224487,1
3778,3778,BGA,1,1,14,5,216,867,867,0.102158565116916,0.318760586092656,0.2631552911556,0.900600553056242,0.9026005530566492,5,1,1.11,1,867,0,867,0,0,0.3204868154158211,1
3783,3783,BTA,1,1,14,5,149,577,577,0.102347175550114,0.331257599436755,0.301558642245873,0.668737381250463,0.66273738125015,4,2,10150.0,0,577,0,577,0,0,0.3089655172413773,2
3787,3787,DBA,1,1,14,5,263,399,399,0.115203406960948,0.393575951662124,0.30535326826452097,0.6917705057152629,0.369770505716056,2,1,0.05,1,399,0,399,0,0,0.2927094668117516,1
3788,3788,DPA,1,1,14,5,79,948,948,0.191862923117118,0.446252602428654,0.346038486336231,0.742687423908737,0.741687423908533,3,1,3.51,0,948,0,948,0,0,0.4299424184261036,1
3795,3795,GDA,1,1,14,5,267,761,761,0.137439377643225,0.318700006129218,0.284838130477989,0.866373374073631,0.8793733740735509,4,2,8.06,1,761,0,761,0,0,0.4312499999999992,2
3805,3805,DTA,1,1,14,5,712,712,712,,,,,,2,1,1.44,0,712,0,712,712,0,,1
3806,3806,GTA,1,1,14,5,273,1082,1082,0.155499897950332,0.32449978704104804,0.274499819854445,0.92084668928082,0.92584668928093,3,1,47.64,0,1082,0,1082,0,0,0.4791987673343584,1
3807,3807,DCA,1,1,14,5,170,738,738,0.15199990024726998,0.3749997538995151,0.32449978704104604,0.7952266942978621,0.7952266942978621,4,1,0.19,0,738,0,738,0,0,0.40533333333333293,1
3808,3808,BPA,1,1,14,5,428,899,899,0.206999864152532,0.459499698444873,0.323999787369181,0.7395136196113951,0.745513619611708,5,1,0.39,0,899,0,899,0,0,0.4504896626768213,1
3812,3812,GDA,1,1,14,5,438,580,580,0.126235737417947,0.282246980467646,0.262086481862814,0.7073324992192359,0.705332499219738,3,3,8.06,1,580,0,580,0,0,0.4472527472527466,3
3814,3814,DBA,1,1,14,5,313,900,900,0.0816048784941374,0.285852926979464,0.221229410484106,0.937312218846054,0.915312218846119,5,2,0.05,1,900,0,900,0,0,0.28547854785478544,2
3818,3818,DGA,1,1,14,5,132,652,652,0.0858611402695781,0.26656236358202395,0.235136063875512,0.8298000649009959,0.826800064901295,3,1,0.0,1,652,0,652,0,0,0.3221052631578942,1
3819,3819,BPA,1,1,14,5,227,822,822,0.184068326852429,0.35017876815828003,0.31594654883511497,0.898620476533672,0.8976204765334681,4,2,0.39,0,822,0,822,0,0,0.5256410256410249,2
3823,3823,GBA,1,1,14,5,312,457,457,0.123504519004557,0.38480333607205,0.317437234796837,0.681607279595442,0.409607279595507,2,2,7.04,1,457,0,457,0,0,0.3209549071618033,2
3825,3825,BCA,1,1,14,5,114,624,624,0.12851122326773098,0.360252773422655,0.281249972233477,0.441261009631058,0.588261009630992,4,2,12.49,0,624,0,624,0,0,0.3567251461988311,2
3830,3830,DTA,1,1,14,5,197,699,699,,,,,,3,2,1.44,0,699,0,699,0,0,,2
3844,3844,BGA,1,1,14,5,653,805,805,0.0951183798773947,0.319485852411718,0.236117390048591,0.8246294037458121,0.8196294037457029,5,2,1.11,1,805,0,805,0,0,0.2977232924693537,2
3847,3847,GCA,1,1,14,5,310,802,802,,,,,,2,1,0.0,0,802,0,802,0,0,,1
3853,3853,DTA,1,1,14,5,312,683,683,0.171159255921625,0.3985565530746401,0.305641528431473,0.632060258388999,0.6340602583884971,2,3,1.44,0,683,0,683,0,0,0.4294478527607373,3
3854,3854,GTA,1,1,14,5,636,902,902,0.159817812957211,0.315417560469804,0.294327233246711,0.8722054105359441,0.8742054105354421,3,2,47.64,0,902,0,902,0,0,0.5066864784546798,2
3860,3860,BTA,1,1,14,5,602,1067,1067,0.122507240325356,0.342935492813886,0.24925348550626006,0.974570173919171,0.965570173919156,3,3,10150.0,0,1067,0,1067,0,0,0.35723114956736696,3
3862,3862,DPA,1,1,14,5,232,942,942,,,,,,5,2,3.51,0,942,0,942,0,0,,2
3865,3865,BDA,1,1,14,5,330,767,767,0.146095430844457,0.42937803455505,0.326933067804364,0.714044864220684,0.720044864220088,2,2,23.66,1,767,0,767,0,0,0.3402489626556021,2
3868,3868,BGA,1,1,14,5,395,773,773,0.0940134380117392,0.26750215351794,0.250056360897204,0.919297513568634,0.9082975135691208,5,3,1.11,1,773,0,773,0,0,0.3514492753623167,3
3871,3871,GBA,1,1,14,5,585,638,638,0.13019949969765302,0.333544785742301,0.27137086734735394,0.5784049246741539,0.5684049246739361,2,3,7.04,1,638,0,638,0,0,0.3903508771929837,3
3872,3872,GPA,1,1,14,5,61,742,742,0.188716128775249,0.3540256059194601,0.329887496424951,0.8355848955407891,0.8245848955403671,3,1,7.98,0,742,0,742,0,0,0.5330578512396683,1
