,,,Unnamed: 0,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,OrdenPres,OrdenPres,sujnum,sujnum,FFD,FFD,SFD,SFD,FPRT,FPRT,TFT,TFT,RRT,RRT,transicion,transicion,dur_totCCV,dur_totCCV,dur_CCV_sin_inico,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_l,tiempo_onset_vocal_r,tiempo_onset_vocal_r,OrdenDeCCV,OrdenDeCCV,repeticion_ccv,repeticion_ccv,Frecuencia,Frecuencia,SegConsVoceada,SegConsVoceada,NormTransition,NormTransition,block,CCV,type
,,,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,,,
CCV,bloque,TipoNumCCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BJA,1,2,4918.617021276596,404.42191878449376,8231.382978723404,652.1786817193343,1.5957446808510638,0.07235674844413015,15.829787234042554,1.1994907757565465,330.468085106383,26.365236044067906,20.574468085106382,13.434348698733377,816.8723404255319,50.350020159722256,816.8723404255319,50.350020159722256,0.0,0.0,0.09945245271207964,0.008827952982579686,0.5071475091535086,0.018855389680663828,0.4222286935891186,0.015444894166685397,0.9255945998542944,0.04319402237271941,0.7881374569970829,0.047855922894114486,3.1914893617021276,0.28956297076019155,1.5319148936170213,0.07357064625618347,131.21,0.0,0,0.0,0.191508257055864,0.013360369302717896,1,BJA,2
BJA,2,2,5284.45652173913,419.99198831388094,8880.54347826087,671.831086939479,2.391304347826087,0.1371844587385418,16.934782608695652,1.2469875483779718,359.45652173913044,24.381800184035647,118.95652173913044,29.044126956219962,691.9347826086956,53.202288300046526,700.5217391304348,53.63193348197428,8.58695652173913,8.586956521739133,,,,,,,,,,,5.195652173913044,0.14783319107681112,1.4782608695652173,0.07446511639805872,131.21,0.0,0,0.0,,,2,BJA,2
BPA,1,5,4877.478873239436,333.6389661023922,8168.183098591549,538.3697888077944,1.6338028169014085,0.05758184314388003,15.76056338028169,0.9934321112440762,339.53521126760563,22.52534303551384,8.04225352112676,5.0611327821067915,880.7887323943662,37.25855020768595,902.1971830985915,37.55851568539771,21.408450704225352,9.91394719979877,0.20260980860126704,0.0061795971651980915,0.4761829036751881,0.015941995001574272,0.4012253514135536,0.013435817745043266,0.8712370365788425,0.039090490737066136,0.8255848626654942,0.032019487369523425,4.450704225352113,0.09784135394092026,2.0140845070422535,0.09723120146238273,0.39000000000000035,0.0,0,0.0,0.43324402203010093,0.011031752515628717,1,BPA,5
BPA,2,5,4972.192307692308,335.3342739376439,8336.807692307691,538.5083964614707,2.4358974358974357,0.10256410256410255,15.820512820512821,0.998791075735175,353.84615384615387,18.27182255482151,133.2948717948718,23.433727049447874,635.0641025641025,37.97510594117265,654.8717948717949,38.636860371223754,19.807692307692307,12.756186692418598,,,,,,,,,,,3.0384615384615383,0.10393892083737315,1.9487179487179487,0.09286471223075496,0.3900000000000004,0.0,0,0.0,,,2,BPA,5
BSA,1,2,4586.571428571428,420.9312406335475,7706.571428571428,679.5149232681243,1.6428571428571428,0.07483181740388338,14.904761904761905,1.2441778574664875,357.6666666666667,30.77537793355518,18.404761904761905,14.88980271079269,974.0,49.945498751423585,983.5,49.78341301459868,9.5,7.714809957667579,0.063860903138678,0.004961385144196687,0.45185516679129517,0.021064210066952322,0.3866971802220699,0.017091337783644744,0.8395081162319624,0.031544212292277454,0.8248306968768988,0.02401186952291809,4.142857142857143,0.24710032328868195,1.5,0.07808688094430304,3462.600000000002,0.0,0,0.0,0.14092356383660756,0.008410479770270995,1,BSA,2
BSA,2,2,4656.872340425532,413.1626957407107,7839.425531914893,668.5253849541574,2.404255319148936,0.1348572221583121,14.914893617021276,1.2398821925006973,378.59574468085106,26.38213906037545,187.85106382978722,33.549361354468374,558.1063829787234,44.71147336174604,581.8936170212766,49.25460326390887,23.78723404255319,18.183816700480723,,,,,,,,,,,2.765957446808511,0.24372374444318856,1.5106382978723405,0.07370428968378202,3462.6000000000026,0.0,0,0.0,,,2,BSA,2
BTA,1,5,4693.0,326.53878717260886,7896.013698630137,528.878709445608,1.63013698630137,0.05689468399258956,15.315068493150685,0.975903888150593,329.05479452054794,21.038866425280403,25.82191780821918,13.8352496673661,840.5890410958904,30.4522409445523,853.6027397260274,29.60293896439235,13.013698630136986,13.013698630136986,0.19460113193449075,0.008776019355321253,0.48624574387193775,0.016503575473622814,0.39191462312624575,0.012323021429960923,0.7547548782666011,0.026059749979813022,0.7567171424175884,0.02681877160654931,3.315068493150685,0.07266589252438152,2.041095890410959,0.09643247526001313,10150.0,0.0,0,0.0,0.39894965140960603,0.011329153529215917,1,BTA,5
BTA,2,5,5004.632911392405,332.3352626033312,8388.177215189873,533.6618344124272,2.4177215189873418,0.10287587321341139,15.924050632911392,0.9888656587759392,352.30379746835445,18.182692499564425,142.20253164556962,25.008660491133938,629.0253164556962,35.20155704692056,637.253164556962,36.00646137493524,8.227848101265822,6.3434113098134,,,,,,,,,,,3.4556962025316458,0.1404743070784911,2.037974683544304,0.09087378847376903,10150.0,0.0,0,0.0,,,2,BTA,5
CBA,1,6,5095.0,484.71846472222853,8524.473684210527,772.9686761477516,1.5789473684210527,0.08116837904800629,16.473684210526315,1.4256025364383227,317.63157894736844,24.938371294172754,0.0,0.0,1025.6315789473683,52.89240563003668,1070.342105263158,50.21892719979043,44.71052631578947,31.902476479736904,0.18820868174067829,0.013891968523683337,0.4049658679316371,0.023555769821324495,0.37743722743011,0.022653964708815172,1.0138043042752076,0.04637361358080908,1.0166464095384848,0.04588012842555057,3.8947368421052633,0.26344223614311213,1.605263157894737,0.0887680315199657,1.8299999999999987,0.0,1,0.0,0.4649195876231852,0.01782985973829811,1,CBA,6
CBA,2,6,5051.181818181818,450.6447615738601,8454.818181818182,726.899802378872,2.3636363636363638,0.14205866746158427,16.09090909090909,1.3491122215283455,308.5681818181818,21.242991574720087,104.81818181818181,25.34959108566936,590.0,52.837318639525975,592.6136363636364,52.967372141081434,2.6136363636363638,2.6136363636363638,,,,,,,,,,,2.227272727272727,0.18062504925458225,1.5227272727272727,0.07617047451458002,1.8299999999999985,0.0,1,0.0,,,2,CBA,6
