,Unnamed: 0,CCV,bloque,OrdenPres,sujnum,TipoNumCCV,FFD,FPRT,TFT,transicion,dur_totCCV,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_r,OrdenDeCCV,repeticion_ccv,Frecuencia,SegConsVoceada,RPD,RBRC,RBRT,SFD,RRT,NormTransition,TotalRepetition
3903,3903,BDA,1,1,14,5,667,728,728,0.0959101426954501,0.297321442355896,0.274303008108987,0.852129082738537,0.8601290827383471,4,3,23.66,1,728,0,728,0,0,0.32258064516128954,3
3904,3904,DBA,1,1,14,5,269,972,972,0.0901555341337232,0.3145852680410769,0.25991648670467,0.964122628936746,0.9671226289373572,5,3,0.05,1,972,0,972,0,0,0.2865853658536583,3
3916,3916,BPA,1,1,14,5,293,883,883,0.19413080365984,0.4056913079578711,0.377443172440804,0.826138320975256,0.829138320975867,5,3,0.39,0,883,0,883,0,0,0.4785185185185172,3
3919,3919,DPA,1,1,14,5,263,850,850,0.15605517436915806,0.3128092274970169,0.294414147576479,0.8824735952205831,0.8804735952201751,2,3,3.51,0,850,0,850,0,0,0.4988828993884019,3
3926,3926,BCA,1,1,14,5,275,926,1191,0.107907986435034,0.359410065055271,0.286338515185878,0.970863990336621,0.966863990336715,3,3,12.49,0,926,0,926,0,265,0.3002364066193851,3
4117,4117,GDA,1,1,15,5,524,1155,1155,0.21345462627569,0.664463594696907,0.583557405705315,0.930482384984626,0.933482384984612,3,1,8.06,1,1155,0,1155,0,0,0.3212435233160617,1
4119,4119,GBA,1,1,15,5,1108,1108,1108,0.208991307711249,0.6376665016678101,0.590035924561525,0.869813959346028,0.870813959346004,5,1,7.04,1,1108,0,1108,1108,0,0.3277439024390248,1
4134,4134,BCA,1,1,15,5,452,1230,1230,0.224491551756758,0.672138396033625,0.5592244905369229,1.2291585497634498,1.2291585497634498,2,1,12.49,0,1230,0,1230,0,0,0.3339960238568596,1
4142,4142,BTA,1,1,15,5,189,1450,1450,0.400131354805035,0.9520912078760128,0.7109053121931359,0.922351080251925,0.911351080251958,4,2,10150.0,0,1450,0,1450,0,0,0.4202657807308967,2
4146,4146,DBA,1,1,15,5,230,1033,1033,0.34383539985262795,0.816806647851325,0.6884539236556579,0.9218312821588872,0.908831282158853,2,1,0.05,1,1033,0,1033,0,0,0.4209507853016554,1
4147,4147,DPA,1,1,15,5,295,891,891,0.257642329589843,0.593982679854403,0.564939362700639,0.734788205940995,0.723788205941028,3,1,3.51,0,891,0,891,0,0,0.43375394321766464,1
4154,4154,GDA,1,1,15,5,192,853,895,0.18604966157945896,0.620438739275992,0.563886198972105,0.829947071574359,0.8099470715742629,4,2,8.06,1,853,0,853,0,42,0.29986789960369936,2
4164,4164,DTA,1,1,15,5,189,792,792,0.248249322928658,0.694063732021374,0.5585609765894809,0.671584681194405,0.659584681194348,2,1,1.44,0,792,0,792,0,0,0.35767511177347194,1
4165,4165,GTA,1,1,15,5,176,667,667,0.2647992777905689,0.590626514134433,0.5626984653049589,0.58831827501688,0.57931827501698,3,1,47.64,0,667,0,667,0,0,0.4483362521891419,1
4166,4166,DCA,1,1,15,5,184,1017,1017,0.39926766104359096,0.8419789535996999,0.762332295826755,0.7804055144620942,0.7704055144621031,4,1,0.19,0,1017,0,1017,0,0,0.4742014742014726,1
4167,4167,BPA,1,1,15,5,213,744,744,0.248249322928658,0.5999358637442579,0.530632927760007,0.826391551681759,0.815391551681792,5,1,0.39,0,744,0,744,0,0,0.4137931034482751,1
4171,4171,GDA,1,1,15,5,224,803,803,0.24542768797720704,0.6398214353236661,0.589759071109409,0.8206202816876109,0.801620281687719,3,3,8.06,1,803,0,803,0,0,0.3835877862595408,3
4173,4173,DBA,1,1,15,5,281,710,710,0.21952105700331,0.628931403376747,0.582033723016949,0.8859336382004499,0.875933638200459,5,2,0.05,1,710,0,710,0,0,0.3490381555519353,2
4177,4177,DGA,1,1,15,5,165,650,693,0.195477339920102,0.6759276693622801,0.614693803845139,0.9857471559950342,0.9867471559950112,3,1,0.0,1,650,0,650,0,43,0.2891986062717771,1
4178,4178,BPA,1,1,15,5,318,1198,1198,0.275552394827131,0.678282818036015,0.5825067719707451,1.08728322576501,1.0882832257651,4,2,0.39,0,1198,0,1198,0,0,0.4062499999999999,2
4182,4182,GBA,1,1,15,5,258,932,932,0.228957562475514,0.6796500513863039,0.5438644938298479,0.753610096067027,0.7406100960669929,2,2,7.04,1,932,0,932,0,0,0.3368756641870356,2
4184,4184,BCA,1,1,15,5,140,826,826,0.25237718819282995,0.6379740065167739,0.6009685537025761,0.925940685362326,0.914940685362359,4,2,12.49,0,826,0,826,0,0,0.3955916473317857,2
4189,4189,DTA,1,1,15,5,854,854,854,0.26978045044666,0.576349144136047,0.5518236486408961,0.606131945388858,0.583131945388833,3,2,1.44,0,854,0,854,854,0,0.4680851063829782,2
4203,4203,BGA,1,1,15,5,283,697,697,0.2274813917690389,0.639366303776103,0.578150381074136,0.610814439586315,0.5988144395862579,5,2,1.11,1,697,0,697,0,0,0.3557919621749408,2
4206,4206,GCA,1,1,15,5,219,1631,1631,0.408247687736637,0.7881939759768001,0.7563549015432671,1.37585716796006,1.36385716796012,2,1,0.0,0,1631,0,1631,0,0,0.5179533213644524,1
4212,4212,DTA,1,1,15,5,194,971,971,0.390084545603899,0.70715861475787,0.688384492242175,1.07968447388514,1.08068447388523,2,3,1.44,0,971,0,971,0,0,0.5516224188790563,3
4213,4213,GTA,1,1,15,5,771,1034,1034,0.289736326264769,0.7181699608428951,0.624725587869065,0.629122946870701,0.6171229468706441,3,2,47.64,0,1034,0,1034,0,0,0.403436988543372,2
4218,4218,BDA,1,1,15,5,319,693,693,0.222564633122536,0.7789589125661992,0.6162564911111039,0.6131316167867329,0.599131616786723,2,1,23.66,1,693,0,693,0,0,0.28572063241348633,1
4219,4219,BTA,1,1,15,5,574,775,775,0.228530085499781,0.679102020633419,0.567360180720276,0.6295631460559681,0.6195631460559771,3,3,10150.0,0,775,0,775,0,0,0.3365180467091293,3
4221,4221,DPA,1,1,15,5,426,828,828,0.242416395844844,0.655392861730357,0.583536535926186,0.91298202714488,0.901982027144912,5,2,3.51,0,828,0,828,0,0,0.3698795180722908,2
4224,4224,BDA,1,1,15,5,313,733,733,0.215451888015948,0.71109736438761,0.543405747114114,0.580253295216931,0.570253295216827,2,2,23.66,1,733,0,733,0,0,0.3029850746268664,2
4227,4227,BGA,1,1,15,5,281,945,945,0.210572288270402,0.6111893775898771,0.5899997133614101,0.7340381373149659,0.723038137314999,5,3,1.11,1,945,0,945,0,0,0.34452871072589397,3
4230,4230,GBA,1,1,15,5,309,591,591,0.25144598590008105,0.666603207224315,0.626806000822864,0.820009142079182,0.8080091420792378,2,3,7.04,1,591,0,591,0,0,0.3772048846675716,3
4231,4231,GPA,1,1,15,5,373,1058,1058,0.272249071064476,0.696451112025404,0.656653905623953,0.750658400057379,0.7406584000573879,3,1,7.98,0,1058,0,1058,0,0,0.3909090909090908,1
