,,,Unnamed: 0,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,OrdenPres,OrdenPres,sujnum,sujnum,FFD,FFD,FPRT,FPRT,TFT,TFT,transicion,transicion,dur_totCCV,dur_totCCV,dur_CCV_sin_inico,dur_CCV_sin_inico,tiempo_onset_vocal_l,tiempo_onset_vocal_l,tiempo_onset_vocal_r,tiempo_onset_vocal_r,OrdenDeCCV,OrdenDeCCV,repeticion_ccv,repeticion_ccv,Frecuencia,Frecuencia,SegConsVoceada,SegConsVoceada,RPD,RPD,RBRC,RBRC,RBRT,RBRT,SFD,SFD,RRT,RRT,NormTransition,NormTransition,TotalRepetition,TotalRepetition,block,CCV,type
,,,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,mean,sem,,,
CCV,bloque,TipoNumCCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTA,1,5,4546.716216216216,309.6093659225512,4546.716216216216,309.6093659225512,1.635135135135135,0.05634270081349513,15.472972972972974,0.9754906440647672,327.27027027027026,20.829194628448505,844.6486486486486,30.310991016314958,857.4864864864865,29.457304385371735,0.19519597658022544,0.008632486215343125,0.4868308247406701,0.016205635415076722,0.39168768524604014,0.012094793504713671,0.7877932549122851,0.03464643880749393,0.7878423419486982,0.03549780861272496,3.310810810810811,0.07180353836209208,2.054054054054054,0.09599898935797911,10150.0,0.0,0,0.0,868.0945945945946,31.687297864490596,0.02702702702702703,0.018979645491264414,857.4864864864865,29.457304385371735,25.472972972972972,13.651466620871457,12.837837837837839,12.837837837837839,0.3996695436834446,0.011140658474824545,2.945945945945946,0.18644543436887404,1,BTA,5
BTA,2,5,4789.898734177215,314.65338631570535,4789.898734177215,314.65338631570535,2.4177215189873418,0.10287587321341139,15.924050632911392,0.9888656587759392,352.30379746835445,18.182692499564425,629.0253164556962,35.20155704692056,637.253164556962,36.00646137493524,,,,,,,,,,,3.4556962025316458,0.1404743070784911,2.037974683544304,0.09087378847376903,10150.0,0.0,0,0.0,629.0253164556962,35.20155704692056,0.0,0.0,629.0253164556962,35.20155704692056,142.20253164556962,25.008660491133938,8.227848101265822,6.3434113098134,,,4.1645569620253164,0.17873875607530695,2,BTA,5
DBA,1,5,4688.0,313.52341024543887,4688.0,313.52341024543887,1.631578947368421,0.0557000276013598,15.802631578947368,0.9865800821733068,338.7105263157895,19.449916030932922,882.6578947368421,34.43539872186595,906.0263157894736,34.985610945394825,0.1863455947626107,0.010050993944112227,0.47545621790127374,0.017772039080043062,0.38377841702098964,0.014301409408644342,0.7715246522273351,0.03899035243364914,0.7620802077832886,0.03859605487121888,3.8947368421052633,0.15624873037341977,1.9473684210526316,0.09346119720608563,0.049999999999999926,0.0,1,0.0,896.5526315789474,35.694932535019504,0.013157894736842105,0.013157894736842105,894.578947368421,35.185973397293566,15.671052631578947,9.053241895991262,23.36842105263158,13.135619741825915,0.3905169131010816,0.0128676019341145,2.8947368421052633,0.18971719245162433,1,DBA,5
DBA,2,5,4767.618421052632,314.21611736114136,4767.618421052632,314.21611736114136,2.4473684210526314,0.10327061510709779,15.881578947368421,0.9872817734022723,340.7894736842105,18.59789948325587,620.0526315789474,33.50336403500475,620.0526315789474,33.50336403500475,,,,,,,,,,,3.5526315789473686,0.1114414909695245,1.9736842105263157,0.09360927418915155,0.049999999999999926,0.0,1,0.0,620.0526315789474,33.50336403500475,0.0,0.0,620.0526315789474,33.50336403500475,145.5921052631579,24.08207586808794,0.0,0.0,,,4.144736842105263,0.17642049784278216,2,DBA,5
DCA,1,5,4877.8378378378375,312.6636587533131,4877.8378378378375,312.6636587533131,1.6216216216216217,0.05676292697547985,16.35135135135135,0.9802629120227458,333.9864864864865,24.59925751493895,802.8378378378378,38.50280202051485,838.4324324324324,39.237309883409935,0.20919196732962825,0.009903341071791603,0.5216124016372,0.018543159621295095,0.43223197720247747,0.014992055696864176,0.9065129708793007,0.06108936682912276,0.759995113736384,0.046850328624953995,2.8783783783783785,0.12610518857965214,2.0675675675675675,0.09491140685051884,0.1899999999999999,0.0,0,0.0,842.7567567567568,41.45693050099749,0.02702702702702703,0.018979645491264414,836.5405405405405,39.33328663722042,49.66216216216216,17.404441349396173,35.5945945945946,23.795530950048427,0.4004086410063356,0.011696746901299309,2.9594594594594597,0.1849974625732198,1,DCA,5
DCA,2,5,4676.698630136986,321.4342298378714,4676.698630136986,321.4342298378714,2.4246575342465753,0.10669699950272074,15.602739726027398,1.0116783315034286,336.64383561643837,15.907174245909651,616.8219178082192,39.47367455245867,629.1506849315068,38.969803862764216,,,,,,,,,,,3.3013698630136985,0.07216201200584069,1.9589041095890412,0.09443889442897915,0.1899999999999999,0.0,0,0.0,620.1232876712329,39.578111624848844,0.0136986301369863,0.013698630136986302,616.8219178082192,39.47367455245867,135.65753424657535,21.546216115851767,12.32876712328767,7.339584684876184,,,4.095890410958904,0.1831613800925258,2,DCA,5
DGA,1,5,4535.347826086957,333.17176038907184,4535.347826086957,333.17176038907184,1.6666666666666667,0.05716619504750294,15.231884057971014,1.0499350297636214,334.7826086956522,22.169067387562304,907.2028985507246,34.87990344002646,928.0434782608696,33.10256500972041,0.18044548512117836,0.009748344339362412,0.4993710807875159,0.02043441898034425,0.40916721702337405,0.017931265963095543,0.7645647432475765,0.032065057740928445,0.7841616246218427,0.037257004712413916,3.8115942028985508,0.11909605957442675,2.0144927536231885,0.1000697830326912,0.0,0.0,1,0.0,925.4347826086956,32.84242831000622,0.014492753623188406,0.014492753623188406,921.5797101449275,32.44036699585416,19.10144927536232,12.080420084375257,20.840579710144926,15.438691875129102,0.3619272711822835,0.012585435445244306,2.971014492753623,0.19254101819690475,1,DGA,5
DGA,2,5,5027.864864864865,323.52866180735333,5027.864864864865,323.52866180735333,2.3513513513513513,0.10957903433505176,16.635135135135137,1.0133456605420859,299.7432432432432,14.70970560638746,555.5540540540541,31.79824717605966,576.8378378378378,33.90115664259369,,,,,,,,,,,3.6486486486486487,0.1432582613518351,2.0,0.0962072303605056,0.0,0.0,1,0.0,575.3243243243244,36.568230861914465,0.013513513513513514,0.013513513513513516,564.1891891891892,32.517842769193166,116.70270270270271,20.794072662142533,21.283783783783782,10.198465962390186,,,4.027027027027027,0.1904543302125077,2,DGA,5
DPA,1,5,4616.855072463768,328.07834552037593,4616.855072463768,328.07834552037593,1.6521739130434783,0.0577574925352236,15.507246376811594,1.0303624182177098,336.05797101449275,22.719891537273252,834.1884057971015,34.0607580800825,855.4347826086956,32.59729013379588,0.20993944673904924,0.01054182097553717,0.510353797942335,0.017761243586342366,0.4194734594065041,0.015570504263990268,0.8612456935955868,0.05967692341367506,0.7720103994777985,0.033385409457006174,3.3043478260869565,0.14931549961555232,2.072463768115942,0.0975375429494532,3.5099999999999967,0.0,0,0.0,857.9130434782609,32.985715598716894,0.028985507246376812,0.0203445857864991,850.6666666666666,32.7321381411579,20.971014492753625,14.803803153757965,21.246376811594203,12.51157019163926,0.41160989374150575,0.011995434109676451,3.028985507246377,0.19691895166875878,1,DPA,5
DPA,2,5,4829.037974683544,312.6518681638644,4829.037974683544,312.6518681638644,2.4430379746835444,0.10150895836356104,16.17721518987342,0.9821119156635413,333.67088607594934,17.448051718445562,585.8354430379746,34.2975147279513,617.6962025316456,35.33393969718957,,,,,,,,,,,4.0886075949367084,0.09042054979533681,2.037974683544304,0.09087378847376903,3.509999999999996,0.0,0,0.0,638.5316455696203,50.08528213955386,0.02531645569620253,0.017786314519727696,603.8481012658228,34.38394668847488,140.35443037974684,24.056004371214986,31.860759493670887,17.282160506935366,,,4.2025316455696204,0.17409267439492013,2,DPA,5
